Time,X(CH2),
Second,Volt,
2.9599959e-01,7.20000e-01,
2.9799959e-01,6.00000e-01,
2.9999959e-01,6.00000e-01,
3.0199960e-01,5.20000e-01,
3.0399960e-01,6.00000e-01,
3.0599961e-01,7.20000e-01,
3.0799961e-01,7.20000e-01,
3.0999961e-01,5.60000e-01,
3.1199962e-01,5.60000e-01,
3.1399962e-01,6.80000e-01,
3.1599963e-01,7.20000e-01,
3.1799963e-01,6.40000e-01,
3.1999964e-01,6.00000e-01,
3.2199964e-01,5.60000e-01,
3.2399964e-01,6.00000e-01,
3.2599965e-01,7.20000e-01,
3.2799965e-01,7.20000e-01,
3.2999966e-01,5.60000e-01,
3.3199966e-01,5.20000e-01,
3.3399966e-01,6.80000e-01,
3.3599967e-01,7.20000e-01,
3.3799967e-01,6.40000e-01,
3.3999968e-01,6.00000e-01,
3.4199968e-01,5.60000e-01,
3.4399968e-01,6.00000e-01,
3.4599969e-01,7.20000e-01,
3.4799969e-01,7.20000e-01,
3.4999970e-01,5.60000e-01,
3.5199970e-01,5.60000e-01,
3.5399970e-01,6.80000e-01,
3.5599971e-01,7.20000e-01,
3.5799971e-01,6.40000e-01,
3.5999972e-01,6.40000e-01,
3.6199972e-01,5.60000e-01,
3.6399972e-01,6.00000e-01,
3.6599973e-01,6.40000e-01,
3.6799973e-01,6.00000e-01,
3.6999974e-01,4.40000e-01,
3.7199974e-01,4.40000e-01,
3.7399974e-01,4.00000e-01,
3.7599975e-01,4.40000e-01,
3.7799975e-01,3.20000e-01,
3.7999976e-01,3.20000e-01,
3.8199976e-01,2.40000e-01,
3.8399976e-01,2.40000e-01,
3.8599977e-01,2.80000e-01,
3.8799977e-01,2.40000e-01,
3.8999978e-01,1.60000e-01,
3.9199978e-01,1.60000e-01,
3.9399979e-01,2.40000e-01,
3.9599979e-01,2.40000e-01,
3.9799979e-01,2.40000e-01,
3.9999980e-01,2.40000e-01,
4.0199980e-01,2.40000e-01,
4.0399981e-01,2.40000e-01,
4.0599981e-01,3.60000e-01,
4.0799981e-01,3.60000e-01,
4.0999982e-01,2.80000e-01,
4.1199982e-01,3.20000e-01,
4.1399983e-01,4.00000e-01,
4.1599983e-01,4.00000e-01,
4.1799983e-01,4.40000e-01,
4.1999984e-01,4.00000e-01,
4.2199984e-01,3.60000e-01,
4.2399985e-01,4.00000e-01,
4.2599985e-01,5.20000e-01,
4.2799985e-01,5.20000e-01,
4.2999986e-01,4.00000e-01,
4.3199986e-01,4.00000e-01,
4.3399987e-01,5.20000e-01,
4.3599987e-01,5.20000e-01,
4.3799987e-01,5.60000e-01,
4.3999988e-01,5.20000e-01,
4.4199988e-01,4.80000e-01,
4.4399989e-01,4.80000e-01,
4.4599989e-01,6.00000e-01,
4.4799989e-01,6.00000e-01,
4.4999990e-01,4.80000e-01,
4.5199990e-01,4.80000e-01,
4.5399991e-01,6.00000e-01,
4.5599991e-01,6.40000e-01,
4.5799991e-01,5.60000e-01,
4.5999992e-01,5.60000e-01,
4.6199992e-01,5.20000e-01,
4.6399993e-01,5.60000e-01,
4.6599993e-01,6.80000e-01,
4.6799994e-01,6.80000e-01,
4.6999994e-01,5.20000e-01,
4.7199994e-01,5.20000e-01,
4.7399995e-01,6.40000e-01,
4.7599995e-01,6.80000e-01,
4.7799996e-01,6.40000e-01,
4.7999996e-01,6.00000e-01,
4.8199996e-01,5.20000e-01,
4.8399997e-01,5.60000e-01,
4.8599997e-01,7.20000e-01,
4.8799998e-01,6.80000e-01,
4.8999998e-01,5.20000e-01,
4.9199998e-01,5.20000e-01,
4.9399999e-01,6.40000e-01,
4.9599999e-01,6.40000e-01,
4.9800000e-01,7.20000e-01,
5.0000000e-01,6.00000e-01,
5.0199997e-01,5.20000e-01,
5.0399995e-01,5.60000e-01,
5.0599992e-01,6.80000e-01,
5.0799990e-01,7.20000e-01,
5.0999987e-01,5.60000e-01,
5.1199985e-01,5.60000e-01,
5.1399982e-01,6.80000e-01,
5.1599979e-01,7.20000e-01,
5.1799977e-01,6.40000e-01,
5.1999974e-01,6.00000e-01,
5.2199972e-01,5.20000e-01,
5.2399969e-01,5.60000e-01,
5.2599967e-01,7.20000e-01,
5.2799964e-01,6.80000e-01,
5.2999961e-01,5.60000e-01,
5.3199959e-01,5.20000e-01,
5.3399956e-01,6.40000e-01,
5.3599954e-01,7.20000e-01,
5.3799951e-01,6.40000e-01,
5.3999949e-01,6.00000e-01,
5.4199946e-01,5.20000e-01,
5.4399943e-01,5.60000e-01,
5.4599941e-01,7.20000e-01,
5.4799938e-01,6.80000e-01,
5.4999936e-01,5.20000e-01,
5.5199933e-01,5.20000e-01,
5.5399930e-01,6.40000e-01,
5.5599928e-01,7.20000e-01,
5.5799925e-01,6.40000e-01,
5.5999923e-01,6.00000e-01,
5.6199920e-01,5.20000e-01,
5.6399918e-01,6.00000e-01,
5.6599915e-01,7.20000e-01,
5.6799912e-01,7.20000e-01,
5.6999910e-01,5.60000e-01,
5.7199907e-01,5.20000e-01,
5.7399905e-01,6.40000e-01,
5.7599902e-01,7.20000e-01,
5.7799900e-01,6.40000e-01,
5.7999897e-01,6.40000e-01,
5.8199894e-01,5.20000e-01,
5.8399892e-01,5.60000e-01,
5.8599889e-01,7.20000e-01,
5.8799887e-01,7.20000e-01,
5.8999884e-01,5.20000e-01,
5.9199882e-01,5.20000e-01,
5.9399879e-01,6.80000e-01,
5.9599876e-01,7.20000e-01,
5.9799874e-01,6.40000e-01,
